time,temp,weather,wind,humidity,barometer,visibility
"00:50
Wed, 1 Apr",2ʡC,Clear.,6 mph,75%,1028 mbar,N/A
01:50,0ʡC,Clear.,3 mph,80%,1028 mbar,N/A
02:50,-1ʡC,Clear.,3 mph,86%,1027 mbar,N/A
03:50,-1ʡC,Clear.,2 mph,93%,1027 mbar,N/A
04:50,-2ʡC,Clear.,1 mph,93%,1026 mbar,N/A
05:50,-2ʡC,Clear.,3 mph,93%,1026 mbar,N/A
06:50,-2ʡC,Passing clouds.,3 mph,86%,1026 mbar,N/A
07:20,-2ʡC,Passing clouds.,3 mph,93%,1026 mbar,N/A
07:50,-1ʡC,Passing clouds.,2 mph,93%,1026 mbar,N/A
08:21,0ʡC,Scattered clouds.,1 mph,93%,1025 mbar,N/A
09:20,4ʡC,Passing clouds.,3 mph,75%,1025 mbar,N/A
09:50,6ʡC,Scattered clouds.,2 mph,66%,1025 mbar,N/A
10:20,7ʡC,Partly sunny.,3 mph,61%,1025 mbar,N/A
10:50,7ʡC,Partly sunny.,3 mph,57%,1024 mbar,N/A
11:20,7ʡC,Partly sunny.,3 mph,57%,1024 mbar,N/A
11:50,8ʡC,Partly sunny.,5 mph,57%,1024 mbar,N/A
12:50,8ʡC,Overcast.,8 mph,57%,1023 mbar,N/A
13:20,8ʡC,Overcast.,6 mph,53%,1023 mbar,N/A
13:50,9ʡC,Overcast.,6 mph,50%,1022 mbar,N/A
14:50,9ʡC,Overcast.,9 mph,46%,1022 mbar,N/A
15:22,8ʡC,Overcast.,10 mph,53%,1022 mbar,N/A
15:50,8ʡC,Partly sunny.,6 mph,57%,1021 mbar,N/A
16:22,8ʡC,Partly sunny.,5 mph,57%,1021 mbar,N/A
16:50,8ʡC,Partly sunny.,5 mph,57%,1021 mbar,N/A
17:20,8ʡC,Partly sunny.,9 mph,57%,1020 mbar,N/A
17:50,8ʡC,Overcast.,8 mph,57%,1020 mbar,N/A
18:50,8ʡC,Partly sunny.,6 mph,57%,1020 mbar,N/A
19:22,7ʡC,Partly sunny.,7 mph,66%,1020 mbar,N/A
19:50,7ʡC,Overcast.,6 mph,66%,1020 mbar,N/A
20:50,7ʡC,Overcast.,5 mph,61%,1020 mbar,N/A
21:50,7ʡC,Overcast.,5 mph,61%,1020 mbar,N/A
22:50,6ʡC,Overcast.,3 mph,71%,1020 mbar,N/A
23:50,6ʡC,Overcast.,5 mph,71%,1019 mbar,N/A
"00:50
Thu, 2 Apr",6ʡC,Overcast.,5 mph,71%,1019 mbar,N/A
01:50,6ʡC,Overcast.,5 mph,71%,1019 mbar,N/A
02:50,6ʡC,Overcast.,3 mph,71%,1018 mbar,N/A
03:50,6ʡC,Overcast.,5 mph,71%,1018 mbar,N/A
04:50,6ʡC,Passing clouds.,5 mph,71%,1017 mbar,N/A
05:50,5ʡC,Partly cloudy.,5 mph,76%,1017 mbar,N/A
06:50,6ʡC,Partly sunny.,6 mph,76%,1017 mbar,N/A
07:22,6ʡC,Partly sunny.,8 mph,81%,1017 mbar,N/A
07:50,7ʡC,Partly sunny.,9 mph,76%,1017 mbar,N/A
08:22,7ʡC,Scattered clouds.,8 mph,76%,1016 mbar,N/A
08:50,8ʡC,Broken clouds.,8 mph,71%,1016 mbar,N/A
09:23,8ʡC,Partly sunny.,8 mph,71%,1016 mbar,N/A
09:50,10ʡC,Scattered clouds.,7 mph,67%,1016 mbar,N/A
10:22,10ʡC,Partly sunny.,9 mph,67%,1016 mbar,N/A
10:50,11ʡC,Partly sunny.,12 mph,62%,1016 mbar,N/A
11:23,11ʡC,Scattered clouds.,9 mph,62%,1015 mbar,N/A
11:50,11ʡC,Broken clouds.,12 mph,54%,1015 mbar,N/A
12:23,11ʡC,Partly sunny.,13 mph,58%,1015 mbar,N/A
12:50,12ʡC,Partly sunny.,10 mph,51%,1015 mbar,N/A
13:25,12ʡC,Partly sunny.,12 mph,54%,1014 mbar,N/A
13:50,12ʡC,Partly sunny.,14 mph,54%,1014 mbar,N/A
